,Parameter_B,Stream_Flow,Stream_LCA,GREET1 sheet,Coproduct allocation method,GREET classification of coproduct,GREET row names_level1,values_level1,Unit,notes,Feedstock,Fuel,Combustion,Credits,,,,Year
103,Conversion: Input Supply Chains,Amine (MDEA) makeup,Diethanolamine,,primary product,,     N2O,0.04462441199518442,g/kg,,,,,,,,,2022
104,Conversion: Input Supply Chains,Amine (MDEA) makeup,Diethanolamine,,primary product,,     CO2,2408.250230311588,g/kg,,,,,,,,,2022
105,Conversion: Input Supply Chains,Amine (MDEA) makeup,Diethanolamine,,primary product,,     VOC from bulk terminal,0.0,g/kg,,,,,,,,,2022
106,Conversion: Input Supply Chains,Amine (MDEA) makeup,Diethanolamine,,primary product,,     VOC from ref. Station,0.0,g/kg,,,,,,,,,2022
107,Conversion: Input Supply Chains,Amine (MDEA) makeup,Diethanolamine,,primary product,,     CO2 (w/ C in VOC & CO),0.0,g/kg,,,,,,,,,2022
108,Conversion: Input Supply Chains,Amine (MDEA) makeup,Diethanolamine,,primary product,,     GHGs,0.0,g/kg,,,,,,,,,2022
109,Conversion: Input Supply Chains,Amine (MDEA) makeup,Diethanolamine,,primary product,,"Urban emissions: grams/mmBtu of fuel throughput, except as noted",Per kg of product,g/kg,,,,,,,,,2022
110,Conversion: Input Supply Chains,Amine (MDEA) makeup,Diethanolamine,,primary product,,     VOC,0.198949374744602,g/kg,,,,,,,,,2022
111,Conversion: Input Supply Chains,Amine (MDEA) makeup,Diethanolamine,,primary product,,     CO,0.26624821484953975,g/kg,,,,,,,,,2022
112,Conversion: Input Supply Chains,Amine (MDEA) makeup,Diethanolamine,,primary product,,     NOx,0.45272564863293757,g/kg,,,,,,,,,2022
113,Conversion: Input Supply Chains,Amine (MDEA) makeup,Diethanolamine,,primary product,,     PM10,0.04414271631210223,g/kg,,,,,,,,,2022
114,Conversion: Input Supply Chains,Amine (MDEA) makeup,Diethanolamine,,primary product,,     PM2.5,0.03944645643711296,g/kg,,,,,,,,,2022
115,Conversion: Input Supply Chains,Amine (MDEA) makeup,Diethanolamine,,primary product,,     SOx,0.1554544561802678,g/kg,,,,,,,,,2022
116,Conversion: Input Supply Chains,Amine (MDEA) makeup,Diethanolamine,,primary product,,     BC,0.0025275068230518082,g/kg,,,,,,,,,2022
