,Item,Stream_Flow,Stream_LCA,GREET1 sheet,Coproduct allocation method,GREET classification of coproduct,GREET row names_level1,values_level1,Unit,notes,Feedstock,Fuel,Combustion,Year
100,Coproducts,Adipic Acid (99.7% pure),Adipic Acid,Chemicals,primary product,,     VOC,238.60182856013472,g/ton,,,,,2021
101,Coproducts,Adipic Acid (99.7% pure),Adipic Acid,Chemicals,primary product,,     CO,228.69343352127896,g/ton,,,,,2021
102,Coproducts,Adipic Acid (99.7% pure),Adipic Acid,Chemicals,primary product,,     NOx,368.03407620474854,g/ton,,,,,2021
103,Coproducts,Adipic Acid (99.7% pure),Adipic Acid,Chemicals,primary product,,     PM10,26.224362224813916,g/ton,,,,,2021
104,Coproducts,Adipic Acid (99.7% pure),Adipic Acid,Chemicals,primary product,,     PM2.5,24.412749016223046,g/ton,,,,,2021
105,Coproducts,Adipic Acid (99.7% pure),Adipic Acid,Chemicals,primary product,,     SOx,56.67456484506082,g/ton,,,,,2021
106,Coproducts,Adipic Acid (99.7% pure),Adipic Acid,Chemicals,primary product,,     BC,2.025344629011474,g/ton,,,,,2021
107,Coproducts,Adipic Acid (99.7% pure),Adipic Acid,Chemicals,primary product,,     OC,7.153401788489005,g/ton,,,,,2021
108,Purchased Inputs,Amine (MDEA) makeup,Diethanolamine,,primary product,,    Total energy,63118.17252090607,mmBtu/kg,using placeholder diethanolamine,,,,2021
109,Purchased Inputs,Amine (MDEA) makeup,Diethanolamine,,primary product,,    Fossil fuels,61092.141088683595,mmBtu/kg,,,,,2021
110,Purchased Inputs,Amine (MDEA) makeup,Diethanolamine,,primary product,,    Coal,3446.1514234900887,mmBtu/kg,,,,,2021
111,Purchased Inputs,Amine (MDEA) makeup,Diethanolamine,,primary product,,    Natural gas,54087.08997318511,mmBtu/kg,,,,,2021
112,Purchased Inputs,Amine (MDEA) makeup,Diethanolamine,,primary product,,    Petroleum,3558.8996920083937,mmBtu/kg,,,,,2021
113,Purchased Inputs,Amine (MDEA) makeup,Diethanolamine,,primary product,,Water consumption,1.841596209597648,mmBtu/kg,,,,,2021
114,Purchased Inputs,Amine (MDEA) makeup,Diethanolamine,,primary product,,"Total emissions: grams/mmBtu of fuel throughput, except as noted",Per kg of product,,,,,,2021
115,Purchased Inputs,Amine (MDEA) makeup,Diethanolamine,,primary product,,     VOC,1.554755788306392,g/kg,,,,,2021
116,Purchased Inputs,Amine (MDEA) makeup,Diethanolamine,,primary product,,     CO,2.325175057832688,g/kg,,,,,2021
117,Purchased Inputs,Amine (MDEA) makeup,Diethanolamine,,primary product,,     NOx,2.37089654009001,g/kg,,,,,2021
118,Purchased Inputs,Amine (MDEA) makeup,Diethanolamine,,primary product,,     PM10,0.162205399415984,g/kg,,,,,2021
119,Purchased Inputs,Amine (MDEA) makeup,Diethanolamine,,primary product,,     PM2.5,0.12564456786316416,g/kg,,,,,2021
120,Purchased Inputs,Amine (MDEA) makeup,Diethanolamine,,primary product,,     SOx,1.0024671553281843,g/kg,,,,,2021
121,Purchased Inputs,Amine (MDEA) makeup,Diethanolamine,,primary product,,     BC,0.013277447299330109,g/kg,,,,,2021
122,Purchased Inputs,Amine (MDEA) makeup,Diethanolamine,,primary product,,     OC,0.04246923512610396,g/kg,,,,,2021
123,Purchased Inputs,Amine (MDEA) makeup,Diethanolamine,,primary product,,     CH4,11.430134964912938,g/kg,,,,,2021
124,Purchased Inputs,Amine (MDEA) makeup,Diethanolamine,,primary product,,     N2O,0.04462441199518442,g/kg,,,,,2021
125,Purchased Inputs,Amine (MDEA) makeup,Diethanolamine,,primary product,,     CO2,2408.250230311588,g/kg,,,,,2021
126,Purchased Inputs,Amine (MDEA) makeup,Diethanolamine,,primary product,,     VOC from bulk terminal,0.0,g/kg,,,,,2021
127,Purchased Inputs,Amine (MDEA) makeup,Diethanolamine,,primary product,,     VOC from ref. Station,0.0,g/kg,,,,,2021
128,Purchased Inputs,Amine (MDEA) makeup,Diethanolamine,,primary product,,     CO2 (w/ C in VOC & CO),0.0,g/kg,,,,,2021
129,Purchased Inputs,Amine (MDEA) makeup,Diethanolamine,,primary product,,     GHGs,0.0,g/kg,,,,,2021
130,Purchased Inputs,Amine (MDEA) makeup,Diethanolamine,,primary product,,"Urban emissions: grams/mmBtu of fuel throughput, except as noted",Per kg of product,g/kg,,,,,2021
131,Purchased Inputs,Amine (MDEA) makeup,Diethanolamine,,primary product,,     VOC,0.198949374744602,g/kg,,,,,2021
132,Purchased Inputs,Amine (MDEA) makeup,Diethanolamine,,primary product,,     CO,0.26624821484953975,g/kg,,,,,2021
133,Purchased Inputs,Amine (MDEA) makeup,Diethanolamine,,primary product,,     NOx,0.45272564863293757,g/kg,,,,,2021
134,Purchased Inputs,Amine (MDEA) makeup,Diethanolamine,,primary product,,     PM10,0.04414271631210223,g/kg,,,,,2021
135,Purchased Inputs,Amine (MDEA) makeup,Diethanolamine,,primary product,,     PM2.5,0.03944645643711296,g/kg,,,,,2021
136,Purchased Inputs,Amine (MDEA) makeup,Diethanolamine,,primary product,,     SOx,0.1554544561802678,g/kg,,,,,2021
137,Purchased Inputs,Amine (MDEA) makeup,Diethanolamine,,primary product,,     BC,0.0025275068230518082,g/kg,,,,,2021
138,Purchased Inputs,Amine (MDEA) makeup,Diethanolamine,,primary product,,     OC,0.011749175134387464,g/kg,,,,,2021
139,Purchased Inputs,Ammonia,Ammonia,Ag_Inputs,primary product,,Energy Use: mmBtu/ton,0.0,,,,,,2021
140,Purchased Inputs,Ammonia,Ammonia,Ag_Inputs,primary product,,     Total Energy,32.39112126164244,mmBtu/ton,,,,,2021
141,Purchased Inputs,Ammonia,Ammonia,Ag_Inputs,primary product,,     Fossil fuels,32.28887029640932,mmBtu/ton,,,,,2021
142,Purchased Inputs,Ammonia,Ammonia,Ag_Inputs,primary product,,     Coal,0.17369656550357981,mmBtu/ton,,,,,2021
143,Purchased Inputs,Ammonia,Ammonia,Ag_Inputs,primary product,,     Natural gas,31.189125924490845,mmBtu/ton,,,,,2021
144,Purchased Inputs,Ammonia,Ammonia,Ag_Inputs,primary product,,     Petroleum,0.9260478064148931,mmBtu/ton,,,,,2021
145,Purchased Inputs,Ammonia,Ammonia,Ag_Inputs,primary product,,Water consumption: gallon/ton,411.99686664713795,gallons/ton,,,,,2021
146,Purchased Inputs,Ammonia,Ammonia,Ag_Inputs,primary product,,Total Emissions: grams/ton,0.0,,,,,,2021
147,Purchased Inputs,Ammonia,Ammonia,Ag_Inputs,primary product,,     VOC,4630.584782486703,g/ton,,,,,2021
148,Purchased Inputs,Ammonia,Ammonia,Ag_Inputs,primary product,,     CO,4797.665331425302,g/ton,,,,,2021
149,Purchased Inputs,Ammonia,Ammonia,Ag_Inputs,primary product,,     NOx,1866.2207338942171,g/ton,,,,,2021
150,Purchased Inputs,Ammonia,Ammonia,Ag_Inputs,primary product,,     PM10,77.19832299161439,g/ton,,,,,2021
151,Purchased Inputs,Ammonia,Ammonia,Ag_Inputs,primary product,,     PM2.5,70.02705258275839,g/ton,,,,,2021
152,Purchased Inputs,Ammonia,Ammonia,Ag_Inputs,primary product,,     SOx,622.0677237545794,g/ton,,,,,2021
153,Purchased Inputs,Ammonia,Ammonia,Ag_Inputs,primary product,,     BC,11.16192353157795,g/ton,,,,,2021
154,Purchased Inputs,Ammonia,Ammonia,Ag_Inputs,primary product,,     OC,28.71204727553203,g/ton,,,,,2021
