"This correspondence file maps biofuel pathway name, feedstock, and biofuel flow name to the fossil fuel its targetted to replace",,,
,,,
,,,
Case/Scenario,Biofuel Stream_LCA,Feedstock,Replaced Fuel
Dry Mill (Corn) ETJ,Renewable Diesel,Corn grain (Dry),Diesel
Dry Mill (Corn) ETJ,Renewable Gasoline,Corn grain (Dry),Motor Gasoline
Ex Situ CFP 2022 Target Case,Renewable Blendstock,Woody Biomass,Crude Oil
Ex Situ CFP 2022 Target Case,Renewable Diesel,Woody Biomass,Diesel
Ex Situ CFP 2022 Target Case,Renewable Gasoline,Woody Biomass,Motor Gasoline
Ex-Situ CFP 2019 SOT,Acetone,Woody Biomass,Acetone
Ex-Situ CFP 2019 SOT,Light Oxygenated Coproducts,Woody Biomass,Diesel
Ex-Situ CFP 2019 SOT,MEK,Woody Biomass,MEK
Ex-Situ CFP 2019 SOT,Renewable Blendstock,Woody Biomass,Diesel
Ex-Situ CFP 2019 SOT,Renewable Diesel,Woody Biomass,Diesel
Ex-Situ CFP 2019 SOT,Renewable Gasoline,Woody Biomass,Motor Gasoline
Ex-Situ Fixed Bed 2018 SOT (0.5 wt% Pt/TiO2 Catalyst),Renewable Blendstock,Woody Biomass,Crude Oil
Ex-Situ Fixed Bed 2018 SOT (0.5 wt% Pt/TiO2 Catalyst),Renewable Diesel,Blended woody biomass,Diesel
Ex-Situ Fixed Bed 2018 SOT (0.5 wt% Pt/TiO2 Catalyst),Renewable Diesel,Woody Biomass,Diesel
Ex-Situ Fixed Bed 2018 SOT (0.5 wt% Pt/TiO2 Catalyst),Renewable Gasoline,Blended woody biomass,Motor Gasoline
Ex-Situ Fixed Bed 2018 SOT (0.5 wt% Pt/TiO2 Catalyst),Renewable Gasoline,Woody Biomass,Motor Gasoline
Ex-Situ Fixed Bed 2022 Projection,Renewable Blendstock,Woody Biomass,Crude Oil
Ex-Situ Fixed Bed 2022 Projection,Renewable Diesel,Woody Biomass,Diesel
Ex-Situ Fixed Bed 2022 Projection,Renewable Gasoline,Woody Biomass,Motor Gasoline
Fischer-Tropsch SPK,Jet Fuel,Woody Residue (dry),Jet Fuel
Fischer-Tropsch SPK,Naptha,Woody Residue (dry),Motor Gasoline
Fischer-Tropsch SPK,Renewable Diesel,Woody Residue (dry),Diesel
Gasification to Methanol,Methanol,Blended woody biomass (dry),Motor Gasoline
Gasoline from upgraded bio-oil from pyrolysis,Renewable Diesel,Blended woody biomass (dry),Diesel
Gasoline from upgraded bio-oil from pyrolysis,Renewable Gasoline,Blended woody biomass (dry),Motor Gasoline
In-Situ CFP 2022 Target Case,Renewable Blendstock,Woody Biomass,Diesel
In-Situ CFP 2022 Target Case,Renewable Diesel,Woody Biomass,Diesel
In-Situ CFP 2022 Target Case,Renewable Gasoline,Woody Biomass,Motor Gasoline
"Pathway 1A: Syngas to molybdenum disulfide (MoS2)-catalyzed alcohols followed by fuel production via alcohol condensation (Guerbet reaction), dehydration, oligomerization, and hydrogenation",Diesel Range,Blended woody biomass,Diesel
"Pathway 1A: Syngas to molybdenum disulfide (MoS2)-catalyzed alcohols followed by fuel production via alcohol condensation (Guerbet reaction), dehydration, oligomerization, and hydrogenation",Jet Range,Blended woody biomass,Jet Fuel
"Pathway 1A: Syngas to molybdenum disulfide (MoS2)-catalyzed alcohols followed by fuel production via alcohol condensation (Guerbet reaction), dehydration, oligomerization, and hydrogenation",Naptha Range,Blended woody biomass,Naptha
"Pathway 1B: Syngas fermentation to ethanol followed by fuel production via alcohol condensation (Guerbet reaction), dehydration, oligomerization, and hydrogenation",Diesel Range,Blended woody biomass,Diesel
"Pathway 1B: Syngas fermentation to ethanol followed by fuel production via alcohol condensation (Guerbet reaction), dehydration, oligomerization, and hydrogenation",Jet Range,Blended woody biomass,Jet Fuel
"Pathway 1B: Syngas fermentation to ethanol followed by fuel production via alcohol condensation (Guerbet reaction), dehydration, oligomerization, and hydrogenation",Naptha Range,Blended woody biomass,Naptha
"Pathway 2A: Syngas to rhodium (Rh)-catalyzed mixed oxygenates followed by fuel production via carbon coupling/deoxygenation (to isobutene), oligomerization, and hydrogenation",Diesel Range,Blended woody biomass,Diesel
"Pathway 2A: Syngas to rhodium (Rh)-catalyzed mixed oxygenates followed by fuel production via carbon coupling/deoxygenation (to isobutene), oligomerization, and hydrogenation",Jet Range,Blended woody biomass,Jet Fuel
"Pathway 2A: Syngas to rhodium (Rh)-catalyzed mixed oxygenates followed by fuel production via carbon coupling/deoxygenation (to isobutene), oligomerization, and hydrogenation",Naptha Range,Blended woody biomass,Naptha
"Pathway 2B: Syngas fermentation to ethanol followed by fuel production via carbon coupling/deoxygenation (to isobutene), oligomerization, and hydrogenation",Diesel Range,Blended woody biomass,Diesel
"Pathway 2B: Syngas fermentation to ethanol followed by fuel production via carbon coupling/deoxygenation (to isobutene), oligomerization, and hydrogenation",Jet Range,Blended woody biomass,Jet Fuel
"Pathway 2B: Syngas fermentation to ethanol followed by fuel production via carbon coupling/deoxygenation (to isobutene), oligomerization, and hydrogenation",Naptha Range,Blended woody biomass,Naptha
Pathway FT: Syngas to liquid fuels via Fischer-Tropsch technology as a commercial benchmark for comparisons,Diesel Range,Blended woody biomass,Diesel
Pathway FT: Syngas to liquid fuels via Fischer-Tropsch technology as a commercial benchmark for comparisons,Jet Range,Blended woody biomass,Jet Fuel
Pathway FT: Syngas to liquid fuels via Fischer-Tropsch technology as a commercial benchmark for comparisons,Naptha Range,Blended woody biomass,Naptha
Thermochemical Research Pathway to High-Octane Gasoline Blendstock Through Methanol/Dimethyl Ether Intermediates,High-Octane Gasoline Blendstock,Woody Biomass,Motor Gasoline
